epoch,step,train_loss
0,49,nan
1,99,nan
1,149,nan
2,199,nan
2,249,nan
3,299,nan
3,349,nan
4,399,nan
4,449,nan
5,499,nan
5,549,nan
6,599,nan
6,649,nan
7,699,nan
7,749,nan
8,799,nan
8,849,nan
9,899,nan
9,949,nan
10,999,nan
10,1049,nan
11,1099,nan
11,1149,nan
12,1199,nan
12,1249,nan
13,1299,nan
13,1349,nan
14,1399,nan
14,1449,nan
15,1499,nan
15,1549,nan
16,1599,nan
16,1649,nan
17,1699,nan
17,1749,nan
18,1799,nan
18,1849,nan
19,1899,nan
19,1949,nan
20,1999,nan
20,2049,nan
21,2099,nan
21,2149,nan
22,2199,nan
22,2249,nan
23,2299,nan
23,2349,nan
24,2399,nan
24,2449,nan
25,2499,nan
26,2549,nan
26,2599,nan
27,2649,nan
27,2699,nan
28,2749,nan
28,2799,nan
29,2849,nan
29,2899,nan
30,2949,nan
30,2999,nan
31,3049,nan
31,3099,nan
32,3149,nan
32,3199,nan
33,3249,nan
33,3299,nan
34,3349,nan
34,3399,nan
35,3449,nan
35,3499,nan
36,3549,nan
36,3599,nan
37,3649,nan
37,3699,nan
38,3749,nan
38,3799,nan
39,3849,nan
39,3899,nan
40,3949,nan
40,3999,nan
41,4049,nan
41,4099,nan
42,4149,nan
42,4199,nan
43,4249,nan
43,4299,nan
44,4349,nan
44,4399,nan
45,4449,nan
45,4499,nan
46,4549,nan
46,4599,nan
47,4649,nan
47,4699,nan
48,4749,nan
48,4799,nan
49,4849,nan
49,4899,nan
50,4949,nan
51,4999,nan
51,5049,nan
52,5099,nan
52,5149,nan
53,5199,nan
53,5249,nan
54,5299,nan
54,5349,nan
55,5399,nan
55,5449,nan
56,5499,nan
56,5549,nan
57,5599,nan
57,5649,nan
58,5699,nan
58,5749,nan
59,5799,nan
59,5849,nan
60,5899,nan
60,5949,nan
61,5999,nan
61,6049,nan
62,6099,nan
62,6149,nan
63,6199,nan
63,6249,nan
64,6299,nan
64,6349,nan
65,6399,nan
65,6449,nan
66,6499,nan
66,6549,nan
67,6599,nan
67,6649,nan
68,6699,nan
68,6749,nan
69,6799,nan
69,6849,nan
70,6899,nan
70,6949,nan
71,6999,nan
71,7049,nan
72,7099,nan
72,7149,nan
73,7199,nan
73,7249,nan
74,7299,nan
74,7349,nan
75,7399,nan
76,7449,nan
76,7499,nan
77,7549,nan
77,7599,nan
78,7649,nan
78,7699,nan
79,7749,nan
79,7799,nan
80,7849,nan
80,7899,nan
81,7949,nan
81,7999,nan
82,8049,nan
82,8099,nan
83,8149,nan
83,8199,nan
84,8249,nan
84,8299,nan
85,8349,nan
85,8399,nan
86,8449,nan
86,8499,nan
87,8549,nan
87,8599,nan
88,8649,nan
88,8699,nan
89,8749,nan
89,8799,nan
90,8849,nan
90,8899,nan
91,8949,nan
91,8999,nan
92,9049,nan
92,9099,nan
93,9149,nan
93,9199,nan
94,9249,nan
94,9299,nan
95,9349,nan
95,9399,nan
96,9449,nan
96,9499,nan
97,9549,nan
97,9599,nan
98,9649,nan
98,9699,nan
99,9749,nan
99,9799,nan
