epoch,step,train_loss
0,49,7.003457069396973
1,99,4.914651870727539
1,149,4.422030448913574
2,199,4.306865692138672
2,249,4.232700347900391
3,299,4.09512996673584
3,349,3.7152938842773438
4,399,3.989881992340088
4,449,4.012177467346191
5,499,3.6595773696899414
5,549,3.6599502563476562
6,599,3.8002896308898926
6,649,3.9495725631713867
7,699,3.642794609069824
7,749,3.621232509613037
8,799,3.8517673015594482
8,849,3.4808361530303955
9,899,3.5439870357513428
9,949,3.516491174697876
10,999,3.8925909996032715
10,1049,3.66338849067688
11,1099,3.842306137084961
11,1149,3.4705889225006104
12,1199,3.6990280151367188
12,1249,3.578747272491455
13,1299,3.4651217460632324
13,1349,3.5257484912872314
14,1399,3.5100910663604736
14,1449,3.516029119491577
15,1499,3.491947650909424
15,1549,3.8803014755249023
16,1599,3.5540785789489746
16,1649,3.472726821899414
17,1699,3.4737367630004883
17,1749,3.477309465408325
18,1799,3.462165594100952
18,1849,3.574690341949463
19,1899,3.5142815113067627
19,1949,3.4905776977539062
20,1999,3.7256617546081543
20,2049,3.6443772315979004
21,2099,3.52908992767334
21,2149,3.4481091499328613
22,2199,3.477363109588623
22,2249,3.5544357299804688
23,2299,3.45194149017334
23,2349,3.4773826599121094
24,2399,3.556669235229492
24,2449,3.442746877670288
25,2499,3.4526047706604004
26,2549,3.4002857208251953
26,2599,3.5149333477020264
27,2649,3.5592947006225586
27,2699,3.4623329639434814
28,2749,3.5427873134613037
28,2799,3.5620102882385254
29,2849,3.480117082595825
29,2899,3.461719512939453
30,2949,3.4427905082702637
30,2999,3.4518239498138428
31,3049,3.5867533683776855
31,3099,3.528399705886841
32,3149,3.4146785736083984
32,3199,3.494419574737549
33,3249,3.4937407970428467
33,3299,3.4578938484191895
34,3349,3.5754189491271973
34,3399,3.4109396934509277
35,3449,3.4242916107177734
35,3499,3.5066018104553223
36,3549,3.506901741027832
36,3599,3.501225233078003
37,3649,3.516112804412842
37,3699,3.5664353370666504
38,3749,3.4261417388916016
38,3799,3.455225706100464
39,3849,3.482334613800049
39,3899,3.5128326416015625
40,3949,3.438962936401367
40,3999,3.4900059700012207
41,4049,3.454895496368408
41,4099,3.4376885890960693
42,4149,3.418323040008545
42,4199,3.4380712509155273
43,4249,3.4100801944732666
43,4299,3.4310224056243896
44,4349,3.432727336883545
44,4399,3.472837448120117
45,4449,3.45827579498291
45,4499,3.423757553100586
46,4549,3.467804431915283
46,4599,3.4269118309020996
47,4649,3.5196499824523926
47,4699,3.5196478366851807
48,4749,3.3860464096069336
48,4799,3.3968048095703125
49,4849,3.412430763244629
49,4899,3.3735671043395996
