epoch,step,val_loss
0,49,0.9704124331474304
1,99,0.9188869595527649
1,149,0.8764341473579407
2,199,0.9155163764953613
2,249,0.8708929419517517
3,299,0.9470932483673096
3,349,0.922844648361206
4,399,0.9152240753173828
4,449,0.943385899066925
5,499,0.9224504232406616
5,549,0.9832774996757507
6,599,0.9210114479064941
6,649,0.9185795783996582
7,699,0.9081743955612183
7,749,0.8706238269805908
8,799,0.9957653284072876
8,849,0.901445746421814
9,899,0.9342323541641235
9,949,0.8978406190872192
10,999,0.9065605998039246
10,1049,0.9211318492889404
11,1099,0.9014511108398438
11,1149,0.9115914702415466
12,1199,0.9755619764328003
12,1249,0.9434369802474976
13,1299,0.8988760709762573
13,1349,0.9661669731140137
14,1399,0.933849036693573
14,1449,0.8910077810287476
15,1499,0.9221991300582886
15,1549,0.8903493285179138
16,1599,0.8742673397064209
16,1649,0.915264368057251
17,1699,0.8436270356178284
17,1749,0.8950181007385254
18,1799,0.9008523225784302
18,1849,0.9570062756538391
19,1899,0.9184354543685913
19,1949,0.8748544454574585
20,1999,0.9615052342414856
20,2049,0.8988439440727234
21,2099,0.9310722351074219
21,2149,0.9269523620605469
22,2199,0.912680447101593
22,2249,0.893218994140625
23,2299,0.8406244516372681
23,2349,0.9261144399642944
24,2399,0.8560138940811157
24,2449,0.9378616809844971
25,2499,0.8690060377120972
26,2549,0.933213472366333
26,2599,0.9360271692276001
27,2649,0.9808096885681152
27,2699,0.904552698135376
28,2749,0.9695022106170654
28,2799,0.8703427314758301
29,2849,0.8725189566612244
29,2899,0.8597869277000427
30,2949,0.8651849031448364
30,2999,0.8428930044174194
31,3049,0.9255629777908325
31,3099,0.9182677268981934
32,3149,0.9111241698265076
32,3199,0.910420298576355
33,3249,0.9130538702011108
33,3299,0.8818597793579102
34,3349,0.9148637652397156
34,3399,0.8704736232757568
35,3449,0.8803043365478516
35,3499,0.9206235408782959
36,3549,0.8788468241691589
36,3599,0.8964738845825195
37,3649,0.8633323907852173
37,3699,0.8657886981964111
38,3749,0.9133208990097046
38,3799,0.9266808032989502
39,3849,0.9058470726013184
39,3899,0.9174584150314331
40,3949,0.8959718942642212
40,3999,0.8687723278999329
41,4049,0.9285876750946045
41,4099,0.9243888854980469
42,4149,0.8890269994735718
42,4199,0.9062942266464233
43,4249,0.9162755608558655
43,4299,0.8942757248878479
44,4349,0.9112555980682373
44,4399,0.8641204833984375
45,4449,0.9187806248664856
45,4499,0.9312657117843628
46,4549,0.886692225933075
46,4599,0.8776983022689819
47,4649,0.8748042583465576
47,4699,0.8891327977180481
48,4749,0.9325665831565857
48,4799,0.8618359565734863
49,4849,0.9469243288040161
49,4899,0.9013146162033081
