epoch,step,train_loss
0,49,0.4470521807670593
1,99,0.43330758810043335
1,149,0.4541056156158447
2,199,0.48148271441459656
2,249,0.4705135226249695
3,299,0.4575013816356659
3,349,0.4552066922187805
4,399,0.46272599697113037
4,449,0.44321972131729126
5,499,0.4385923743247986
5,549,0.4571811556816101
6,599,0.4521896243095398
6,649,0.42160454392433167
7,699,0.46248114109039307
7,749,0.4544540047645569
8,799,0.4381447434425354
8,849,0.4496152400970459
9,899,0.4641217589378357
9,949,0.47428226470947266
10,999,0.44147253036499023
10,1049,0.4410901665687561
11,1099,0.4535195231437683
11,1149,0.4420834481716156
12,1199,0.42911404371261597
12,1249,0.43721887469291687
13,1299,0.44889286160469055
13,1349,0.44208115339279175
14,1399,0.4575580358505249
14,1449,0.43899983167648315
15,1499,0.449099600315094
15,1549,0.42852982878685
16,1599,0.44715380668640137
16,1649,0.45818063616752625
17,1699,0.47749629616737366
17,1749,0.45880311727523804
18,1799,0.42679789662361145
18,1849,0.4593520760536194
19,1899,0.42801129817962646
19,1949,0.42844247817993164
20,1999,0.42233583331108093
20,2049,0.46401530504226685
21,2099,0.46097639203071594
21,2149,0.4592478275299072
22,2199,0.47440779209136963
22,2249,0.4282360374927521
23,2299,0.4540327489376068
23,2349,0.45198220014572144
24,2399,0.42289212346076965
24,2449,0.45109307765960693
25,2499,0.4404696822166443
26,2549,0.4655197262763977
26,2599,0.4660939872264862
27,2649,0.410017192363739
27,2699,0.4461016356945038
28,2749,0.42678317427635193
28,2799,0.4368128776550293
29,2849,0.4449979066848755
29,2899,0.4353158473968506
30,2949,0.43816012144088745
30,2999,0.4295971095561981
31,3049,0.4479743540287018
31,3099,0.4305942952632904
32,3149,0.4137991666793823
32,3199,0.43561071157455444
33,3249,0.41168588399887085
33,3299,0.4616204500198364
34,3349,0.45013898611068726
34,3399,0.408557265996933
35,3449,0.40117180347442627
35,3499,0.41474589705467224
36,3549,0.45010727643966675
36,3599,0.4463615417480469
37,3649,0.4673568308353424
37,3699,0.41410666704177856
38,3749,0.4785962700843811
38,3799,0.44470641016960144
39,3849,0.42878398299217224
39,3899,0.4741285443305969
40,3949,0.46895480155944824
40,3999,0.42455756664276123
41,4049,0.4159334897994995
41,4099,0.42168474197387695
42,4149,0.4604625999927521
42,4199,0.43161794543266296
43,4249,0.42938053607940674
43,4299,0.45905059576034546
44,4349,0.42027580738067627
44,4399,0.4382137060165405
45,4449,0.41309747099876404
45,4499,0.42349204421043396
46,4549,0.4415559470653534
46,4599,0.40942609310150146
47,4649,0.42993104457855225
47,4699,0.44305166602134705
48,4749,0.3889990448951721
48,4799,0.42544612288475037
49,4849,0.42783665657043457
49,4899,0.41993555426597595
