epoch,step,train_loss
0,49,0.03606551140546799
1,99,0.010400115512311459
1,149,0.009810585528612137
2,199,0.009861362166702747
2,249,0.00958876684308052
3,299,0.009195271879434586
3,349,0.009535202756524086
4,399,0.009398308582603931
4,449,0.009722182527184486
5,499,0.009512938559055328
5,549,0.009921273216605186
6,599,0.009539215825498104
6,649,0.009789999574422836
7,699,0.009531481191515923
7,749,0.009747546166181564
8,799,0.009296833537518978
8,849,0.010227840393781662
9,899,0.009832607582211494
9,949,0.009424128569662571
10,999,0.009309271350502968
10,1049,0.010176107287406921
11,1099,0.009118059650063515
11,1149,0.009888819418847561
12,1199,0.009618604555726051
12,1249,0.009038361720740795
13,1299,0.009276106022298336
13,1349,0.009278558194637299
14,1399,0.010242780670523643
14,1449,0.009959449991583824
15,1499,0.00907901581376791
15,1549,0.010005392134189606
16,1599,0.009633883833885193
16,1649,0.009707735851407051
17,1699,0.009955637156963348
17,1749,0.009436271153390408
18,1799,0.009398942813277245
18,1849,0.009619872085750103
19,1899,0.009537138044834137
19,1949,0.009484810754656792
20,1999,0.01004067249596119
20,2049,0.009777411818504333
21,2099,0.010572724044322968
21,2149,0.009727743454277515
22,2199,0.009733248502016068
22,2249,0.009234552271664143
23,2299,0.009838687255978584
23,2349,0.009680084884166718
24,2399,0.010956965386867523
24,2449,0.009465763345360756
25,2499,0.010099897161126137
26,2549,0.009799418970942497
26,2599,0.010472903028130531
27,2649,0.01166793517768383
27,2699,0.009820271283388138
28,2749,0.010873474180698395
28,2799,0.009814523160457611
29,2849,0.01236963365226984
29,2899,0.009811077266931534
30,2949,0.010585274547338486
30,2999,0.009910862892866135
31,3049,0.010511994361877441
31,3099,0.010378744453191757
32,3149,0.010902428068220615
32,3199,0.010319827124476433
33,3249,0.009829500690102577
33,3299,0.010000532492995262
34,3349,0.011639585718512535
34,3399,0.009944947436451912
35,3449,0.009197281673550606
35,3499,0.01099318265914917
36,3549,0.01018807664513588
36,3599,0.010656174272298813
37,3649,0.009420068934559822
37,3699,0.009969162754714489
38,3749,0.009202178567647934
38,3799,0.010543065145611763
39,3849,0.010230227373540401
39,3899,0.01005629077553749
40,3949,0.009858843870460987
40,3999,0.009932897984981537
41,4049,0.01012602262198925
41,4099,0.010112440213561058
42,4149,0.009968286380171776
42,4199,0.010611377656459808
43,4249,0.010155318304896355
43,4299,0.009027214720845222
44,4349,0.011136883869767189
44,4399,0.009193778038024902
45,4449,0.00978676788508892
45,4499,0.009223155677318573
46,4549,0.009560732170939445
46,4599,0.010027839802205563
47,4649,0.010503584519028664
47,4699,0.009996678680181503
48,4749,0.01052005123347044
48,4799,0.009834585711359978
49,4849,0.010494646616280079
49,4899,0.009441952221095562
