epoch,step,val_loss
0,49,0.4550042152404785
1,99,0.4446648359298706
1,149,0.4626881182193756
2,199,0.4553236961364746
2,249,0.44787663221359253
3,299,0.48155897855758667
3,349,0.44541192054748535
4,399,0.4357711374759674
4,449,0.45754730701446533
5,499,0.4337248206138611
5,549,0.459712952375412
6,599,0.45330554246902466
6,649,0.4414030909538269
7,699,0.46564534306526184
7,749,0.4295106828212738
8,799,0.43676871061325073
8,849,0.46325811743736267
9,899,0.4751458168029785
9,949,0.4519897401332855
10,999,0.4707820415496826
10,1049,0.4612766206264496
11,1099,0.4564445912837982
11,1149,0.4705095589160919
12,1199,0.4819169342517853
12,1249,0.46404552459716797
13,1299,0.46471524238586426
13,1349,0.44184374809265137
14,1399,0.4647865295410156
14,1449,0.44923630356788635
15,1499,0.4553654193878174
15,1549,0.45928579568862915
16,1599,0.4466247260570526
16,1649,0.4581301808357239
17,1699,0.43807512521743774
17,1749,0.41436767578125
18,1799,0.43453073501586914
18,1849,0.4464835524559021
19,1899,0.44385451078414917
19,1949,0.45784199237823486
20,1999,0.4373844265937805
20,2049,0.44028764963150024
21,2099,0.4215208888053894
21,2149,0.46134012937545776
22,2199,0.4600590467453003
22,2249,0.47490552067756653
23,2299,0.4427930414676666
23,2349,0.4718080461025238
24,2399,0.45809870958328247
24,2449,0.4457656443119049
25,2499,0.43370622396469116
26,2549,0.4592900276184082
26,2599,0.4474204480648041
27,2649,0.45400646328926086
27,2699,0.4265986680984497
28,2749,0.46446219086647034
28,2799,0.42453742027282715
29,2849,0.44934260845184326
29,2899,0.44842565059661865
30,2949,0.45940613746643066
30,2999,0.45352184772491455
31,3049,0.43685221672058105
31,3099,0.4296588897705078
32,3149,0.44415485858917236
32,3199,0.42973148822784424
33,3249,0.44843411445617676
33,3299,0.44666972756385803
34,3349,0.47711095213890076
34,3399,0.4501933753490448
35,3449,0.4546407163143158
35,3499,0.46155858039855957
36,3549,0.4380193054676056
36,3599,0.4521852135658264
37,3649,0.45206865668296814
37,3699,0.4482514262199402
38,3749,0.44691094756126404
38,3799,0.4549279510974884
39,3849,0.4668450951576233
39,3899,0.44726741313934326
40,3949,0.433471143245697
40,3999,0.45221078395843506
41,4049,0.4331482946872711
41,4099,0.4781750738620758
42,4149,0.4476369619369507
42,4199,0.44073688983917236
43,4249,0.4706929922103882
43,4299,0.4645503759384155
44,4349,0.4179903268814087
44,4399,0.4546428322792053
45,4449,0.4543874263763428
45,4499,0.4389217495918274
46,4549,0.45317643880844116
46,4599,0.44726866483688354
47,4649,0.44331908226013184
47,4699,0.4375498592853546
48,4749,0.4335334897041321
48,4799,0.45659440755844116
49,4849,0.4592401087284088
49,4899,0.46005067229270935
